Id,Label,Gender
a666,Douglas Slocombe,2
a668,Mary Selway,1
a669,Norman Reynolds,2
a670,Ben Burtt,2
a671,Richard L. Anderson,0
a672,Oskar Roehler,2
a673,Bernd Eichinger,2
a674,Oliver Berben,2
a675,Christian Ulmen,0
a677,Moritz Bleibtreu,2
a686,Willard Huyck,2
a687,Gloria Katz,1
a700,Carl-Friedrich Koschnick,0
a702,Philip Tan,2
a703,Peter R. Adam,2
a707,Dan Aykroyd,2
a708,Martin Todsharow,2
a709,Ingrid Henn,0
a710,An Dorthe Braker,0
a711,Robert Watts,2
a715,Elliot Scott,2
a716,Emile Ardolino,2
a717,Eleanor Bergstein,1
a718,Linda Gottlieb,1
a719,John Morris,2
a720,Jeff Jur,2
a721,Peter C. Frank,2
a729,Lonny Price,2
a735,Arthur F. Repola,2
a736,Menno Meyjes,2
a737,Jeffrey Boam,2
a738,Sean Connery,2
a747,Alex Hyde-White,0
a750,Maggie Cartier,0
a751,Valorie Massalas,1
a752,Judy Taylor,1
a758,Bero Beyer,0
a759,Antoine Héberlé,0
a760,Sander Vos,0
a767,Jina Sumedi,0
a768,Pierre Hodgson,0
a769,Martin Brest,2
a770,Jerry Bruckheimer,2
a771,Don Simpson,2
a772,Danilo Bach,2
a774,Daniel Petrie Jr.,2
a776,Eddie Murphy,2
a777,Judge Reinhold,2
a785,James Russo,2
a792,Bruce Surtees,2
a793,Luis Buñuel,2
a794,Angelo P. Graham,2
a795,James J. Murakami,2
a796,John M. Dwyer,2
a797,Jeff Haley,2
a798,Tom Bronson,2
a799,Harold Faltermeyer,2
a800,Arthur Coburn,2
a801,Michael Glawogger,2
a803,Wolfgang Thaler,0
a804,Erich Lackner,0
a805,Rolf Schmid,0
a813,Pierre Unik,0
a814,Tony Kaye,2
a815,Ramón Acín,0
a816,John Morrissey,2
a817,Rafael Sánchez Ventura,0
a818,David McKenna,2
a819,Edward Norton,2
a825,Stacy Keach,2
a827,Elliott Gould,2
a834,Otto Preminger,2
a844,Wendell Mayes,2
a846,John D. Voelker,2
a849,Eli Lotar,0
a851,Anne Dudley,1
a852,Gerald B. Greenberg,2
a853,Alan Heim,2
a858,Duke Ellington,2
a859,Valerie McCaffrey,1
a862,George C. Scott,2
a865,Michael Bay,2
a869,Gale Anne Hurd,1
a870,Sam Leavitt,2
a871,Louis R. Loeffler,2
a873,Robert Roy Pool,2
a874,Boris Leven,2
a876,Jonathan Hensleigh,2
a877,Richard Carruth,0
a878,Jack Solomon,0
a879,Billy Bob Thornton,2
a880,Ben Affleck,2
a881,Irving Rosenberg,0
a884,Steve Buscemi,2
a885,James Almond,0
a887,Owen Wilson,2
a892,John Schwartzman,2
a893,Tony Scott,2
a894,Trevor Rabin,2
a896,Michael White,2
a897,Bonnie Timmermann,1
a898,Mark Goldblatt,2
a899,Glen Scantlebury,2
a900,Christopher Boyes,0
a903,Lawrence A. Hubbs,2
a904,Jeffrey L. Kimball,0
a905,Bruton Jones,2
a906,Rick Simpson,2
a907,Magali Guidasci,1
a908,Michael Tronick,2
a909,Billy Weber,2
a910,Steve Grumette,0
a911,Robert D. Wachs,2
a912,Larry Ferguson,2
a913,Warren Skaaren,0
a914,Anna Haas,1
a915,David Giler,2
a923,Dean Stockwell,2
a929,David Franzoni,2
a930,Branko Lustig,2
a931,Douglas Wick,2
a932,John Logan,2
a933,William Nicholson,2
a934,Russell Crowe,2
a938,Djimon Hounsou,2
a943,John Mathieson,2
a944,Arthur Max,2
a945,Crispian Sallis,2
a946,Janty Yates,1
a947,Hans Zimmer,2
a948,Lisa Gerrard,1
a949,Louis DiGiaimo,2
a950,Pietro Scalia,2
a951,Colin Coull,0
a952,Agustín Almodóvar,2
a953,Cecilia Roth,1
a955,Penélope Cruz,1
a956,Guy Ritchie,2
a957,Matthew Vaughn,2
a959,David A. Hughes,2
a960,John Murphy,2
a965,Fernando Fernán Gómez,2
a966,Tim Maurice-Jones,2
a967,Iain Andrews,0
a968,Eve Mavrakis,0
a970,Celestia Fox,1
a971,Niven Howie,0
a972,Humberto Cornejo,0
a973,Jason Flemyng,2
a974,Dexter Fletcher,2
a975,Nick Moran,2
a979,Miguel Rejas,0
a981,José Antonio Bermúdez,2
a982,Sting,2
a983,Diego Garrido,0
a990,Frank Harper,2
a996,Eric Serra,0
a997,Thierry Arbogast,2
a998,Sylvie Landra,1
a999,Todd M. Thaler,2
a1000,Dan Weil,2
a1001,Gerard Drolon,0
a1002,Françoise Benoît-Fresco,0
a1009,Randolph Scott,2
a1011,Susanne Bier,1
a1012,Anders Thomas Jensen,2
a1014,Karen Bentzon,0
a1015,Sisse Graum Jørgensen,0
a1016,Jonas Frederiksen,0
a1028,Jesper Winge Leisner,0
a1029,Per Streit,0
a1030,Pernille Bech Christensen,2
a1031,Thomas Krag,0
a1032,Martin Scorsese,2
a1035,Paul Schrader,0
a1037,Harvey Keitel,2
a1038,Jodie Foster,1
a1044,Michael Chapman,2
a1045,Bernard Herrmann,2
a1046,Juliet Taylor,1
a1047,Tom Rolf,2
a1048,Melvin Shapiro,2
a1049,Charles Rosen,2
a1050,Herbert F. Mulligan,0
a1051,Ruth Morley,1
a1052,Rick Alexander,2
a1053,Gordon Davidson,0
a1054,James Fritch,0
a1056,Sam Gemette,0
a1057,David M. Horton,0
a1058,Bob Gale,2
a1059,Neil Canton,2
a1060,Dean Cundey,2
a1061,Harry Keramidas,2
a1064,Crispin Glover,2
a1071,Tom Tykwer,2
a1073,Stefan Arndt,2
a1075,Johnny Klimek,2
a1076,Reinhold Heil,2
a1077,Frank Griebe,2
a1078,Mathilde Bonnefoy,1
a1079,Alexander Manasse,2
a1080,Monika Jacobs,0
a1090,John McTiernan,2
a1091,Joel Silver,2
a1092,Jim Thomas,2
a1093,Lawrence Gordon,2
a1094,John Thomas,2
a1095,Donald McAlpine,2
a1096,John Vallone,2
a1097,Jackie Burch,1
a1098,Mark Helfrich,2
a1099,John F. Link,2
a1100,Arnold Schwarzenegger,2
a1103,Bill Duke,2
a1108,Shane Black,2
a1112,Hugo Luczyc-Wyhowski,2
a1113,Lucinda Syson,1
a1114,Jon Harris,2
a1121,Benicio del Toro,2
a1126,Krzysztof Kieślowski,2
a1128,Agnieszka Holland,1
a1129,Slawomir Idziak,2
a1132,Krzysztof Piesiewicz,2
a1134,Marin Karmitz,2
a1135,Zbigniew Preisner,2
a1136,Jacques Witta,0
a1137,Juliette Binoche,1
a1143,Edward Klosinski,0
a1144,Urszula Lesiak,0
a1146,Julie Delpy,1
a1148,Jerzy Stuhr,0
a1150,Brian De Palma,2
a1151,Martin Bregman,2
a1152,Oliver Stone,2
a1153,John A. Alonzo,2
a1154,Giorgio Moroder,2
a1155,Ferdinando Scarfiotti,2
a1156,Alixe Gordin,0
a1157,David Ray,2
a1158,Al Pacino,2
a1160,Michelle Pfeiffer,1
a1174,Peter Aalbæk Jensen,2
a1175,Morten Søborg,0
a1176,Lone Scherfig,1
a1177,Ib Tardini,2
a1178,Jørgen Johansson,0
a1179,Gerd Tjur,0
a1181,Peter Gantzler,2
a1188,Kim Ki-duk,2
a1191,Seung-jae Lee,0
a1193,Karl Baumgartner,2
a1194,Raimond Goebel,0
a1195,Bon-seung Ku,0
a1201,Garry Marshall,2
a1202,Steven Reuther,2
a1203,J. F. Lawton,2
a1204,Julia Roberts,1
a1205,Richard Gere,2
a1206,Jason Alexander,2
a1213,James Newton Howard,2
a1214,Charles Minsky,2
a1215,Raja Gosnell,2
a1217,Priscilla Nedd-Friendly,1
a1221,Dianne Crittenden,1
a1222,Albert Brenner,2
a1223,Joel Coen,0
a1224,Ethan Coen,0
a1225,Carter Burwell,2
a1226,Rick Heinrichs,2
a1227,John S. Lyons,2
a1228,Tricia Cooke,1
a1229,Jeff Bridges,2
a1233,Philip Seymour Hoffman,2
a1234,Tara Reid,1
a1241,John Turturro,2
a1243,Woody Allen,2
a1245,Scarlett Johansson,1
a1251,Remi Adefarasin,2
a1252,Alisa Lepselter,1
a1253,Jim Clay,2
a1254,Art Linson,2
a1255,David Mamet,2
a1256,Oscar Fraley,0
a1257,Eliot Ness,0
a1258,Stephen H. Burum,2
a1259,Ennio Morricone,2
a1260,William A. Elliott,0
a1261,Hal Gausman,0
a1262,Mali Finn,1
a1263,Lynn Stalmaster,2
a1264,Bill Pankow,2
a1265,Letty Aronson,1
a1266,Nicky Kentish Barnes,0
a1268,Stephen Tenenbaum,2
a1269,Kevin Costner,2
a1270,Charles Martin Smith,2
a1271,Andy García,2
a1296,Bruce Berman,2
a1297,Richard D. Zanuck,2
a1298,Brad Grey,2
a1299,Roald Dahl,0
a1300,John August,2
a1301,Philippe Rousselot,2
a1302,Susie Figgis,1
a1303,Alex McDowell,2
a1304,Gabriella Pescucci,1
a1305,Bill Abbott,2
a1307,Bob Weinstein,2
a1309,Mark Ordesky,2
