Id,imdbId,Label,Year,Genre
m54242,tt0009369,Mickey,1918,"Comedy,Drama"
m174925,tt0009440,Old Wives for New,1918,Drama
m53423,tt0009611,Shoulder Arms,1918,"Comedy,War"
m70753,tt0009652,Stella Maris,1918,Drama
m117024,tt0009796,The Whispering Chorus,1918,Drama
m48263,tt0010281,I Don't Want to Be a Man,1918,"Comedy,Romance"
m174905,tt0218831,The Young Lady and the Hooligan,1918,Drama
m174895,tt0497639,"Be Silent, Sorrow, Be Silent",1918,Drama
m44441,tt0009878,Different from the Others,1919,Drama
m48591,tt0009893,The Oyster Princess,1919,Comedy
m38531,tt0009899,Back Stage,1919,Comedy
m53516,tt0009932,"Billy Blazes, Esq.",1919,"Comedy,Western"
m70806,tt0009937,Blind Husbands,1919,"Romance,Drama"
m899,tt0009968,Broken Blossoms,1919,"Drama,Romance"
m174946,tt0009976,The Busher,1919,Drama
m70801,tt0010040,Daddy-Long-Legs,1919,"Drama,Comedy"
m53425,tt0010057,A Day's Pleasure,1919,Comedy
m151831,tt0010060,The Delicious Little Devil,1919,"Comedy,Drama"
m70803,tt0010071,Don't Change Your Husband,1919,
m42362,tt0010146,From Hand to Mouth,1919,"Comedy,Action"
m175005,tt0010195,The Grim Game,1919,"Adventure,Drama"
m174958,tt0010208,Harakiri,1919,Drama
m28526,tt0010247,Sir Arne's Treasure,1919,"History,Drama"
m143277,tt0010267,The Hoodlum,1919,Comedy
m70804,tt0010307,J'accuse!,1919,"War,Drama"
m53761,tt0010418,Male and Female,1919,"Adventure,Drama"
m91893,tt0010726,The Spiders - The Golden Sea,1919,Adventure
m53424,tt0010747,Sunnyside,1919,Comedy
m36106,tt0010806,True Heart Susie,1919,"Comedy,Romance,Drama"
m28629,tt0010821,Eerie Tales,1919,"Fantasy,Horror,Mystery"
m49837,tt0198559,South,1919,Documentary
m51472,tt0010155,The Garage,1920,Comedy
m234,tt0010323,The Cabinet of Dr. Caligari,1920,"Drama,Horror,Thriller,Crime"
m35075,tt0011000,Leaves from Satan's Book,1920,Drama
m38705,tt0011071,Convict 13,1920,Comedy
m3016,tt0011130,Dr. Jekyll and Mr. Hyde,1920,"Drama,Horror,Science Fiction"
m82576,tt0011157,Erotikon,1920,"Romance,Drama,Comedy"
m32683,tt0011193,The Flapper,1920,
m2972,tt0011237,The Golem: How He Came Into the World,1920,"Horror,Science Fiction,Thriller"
m53519,tt0011293,High and Dizzy,1920,Comedy
m111747,tt0011358,Just Pals,1920,"Drama,Western"
m133643,tt0011362,Karin Daughter of Ingmar,1920,Drama
m116991,tt0011370,The Monastery of Sendomir,1920,Drama
m71065,tt0011387,The Last of the Mohicans,1920,"Adventure,Drama,Action,History"
m335450,tt0011401,Life of the Party,1920,"Drama,Comedy"
m42657,tt0011439,The Mark of Zorro,1920,"Western,Adventure,Drama,Action,Romance"
m51358,tt0011508,Neighbors,1920,"Comedy,Romance"
m44409,tt0011521,"Number, Please?",1920,Comedy
m23282,tt0011541,One Week,1920,Comedy
m27509,tt0011565,The Penalty,1920,"Crime,Drama,Horror"
m51392,tt0011652,The Saphead,1920,"Drama,Comedy"
m51357,tt0011656,The Scarecrow,1920,Comedy
m92332,tt0011723,The Spiders - The Diamond Ship,1920,Adventure
m175503,tt0011833,From Morn to Midnight,1920,
m31509,tt0011841,Way Down East,1920,"Drama,Action,Romance"
m53766,tt0011865,Why Change Your Wife?,1920,"Comedy,Drama,Romance"
m77621,tt0011870,Within Our Gates,1920,"Drama,Romance"
m175226,tt0139632,The Symbol of the Unconquered,1920,Drama
m114018,tt0191066,The Daughter of Dawn,1920,Western
m341962,tt1075062,Stavitel chrámu,1920,
m76600,tt1630029,Avatar 2,1920,"Action,Adventure,Fantasy,Science Fiction"
m28249,tt0011904,The Ace of Hearts,1921,"Crime,Drama"
m225503,tt0011908,The Adventures of Tarzan,1921,"Adventure,Action"
m53772,tt0011909,The Affairs of Anatol,1921,"Drama,Comedy,Romance"
m55648,tt0011960,The Wildcat,1921,"Comedy,Drama,Romance"
m155953,tt0011979,The Blot,1921,Drama
m50704,tt0011984,The Boat,1921,Comedy
m139176,tt0012027,Camille,1921,"Drama,Romance"
m300769,tt0012136,Enchantment,1921,Comedy
m31432,tt0012190,The Four Horsemen of the Apocalypse,1921,"Drama,War"
m51360,tt0012224,The Goat,1921,Comedy
m38812,tt0012253,Hard Luck,1921,Comedy
m51359,tt0012255,The Haunted House,1921,"Comedy,Horror"
m46510,tt0012278,The High Sign,1921,"Crime,Comedy"
m131366,tt0012281,Backstairs,1921,Drama
m42510,tt0012304,The Idle Class,1921,Comedy
m10098,tt0012349,The Kid,1921,"Comedy,Drama"
m58129,tt0012364,The Phantom Carriage,1921,"Drama,Fantasy,Horror"
m175334,tt0012408,The Love Light,1921,Drama
m130275,tt0012465,Miss Lulu Bett,1921,"Comedy,Drama"
m54198,tt0012486,My Boy,1921,"Comedy,Drama"
m29267,tt0012494,Destiny,1921,"Thriller,Drama,Fantasy"
m44405,tt0012499,Never Weaken,1921,Comedy
m53518,tt0012512,Now or Never,1921,Comedy
m42511,tt0012532,Orphans of the Storm,1921,"Drama,History"
m51362,tt0012570,The Play House,1921,"Comedy,Fantasy"
