Id,Label,Gender
a1226,Rick Heinrichs,2
a1229,Jeff Bridges,2
a1230,John Goodman,2
a1231,Julianne Moore,1
a1232,David Huddleston,2
a1233,Philip Seymour Hoffman,2
a1234,Tara Reid,1
a1235,Philip Moon,2
a1236,Mark Pellegrino,2
a1237,Flea,2
a1238,Torsten Voges,2
a1239,Jimmie Dale Gilmore,0
a1240,Jack Kehler,2
a1241,John Turturro,2
a1243,Woody Allen,2
a1244,Jonathan Rhys Meyers,2
a1245,Scarlett Johansson,1
a1246,Emily Mortimer,1
a1247,Matthew Goode,2
a1248,Brian Cox,2
a1249,Penelope Wilton,1
a1250,Alexander Armstrong,2
a1255,David Mamet,2
a1264,Bill Pankow,2
a1265,Letty Aronson,1
a1268,Stephen Tenenbaum,2
a1269,Kevin Costner,2
a1270,Charles Martin Smith,2
a1271,Andy García,2
a1275,Billy Drago,2
a1276,Patricia Clarkson,1
a1279,Peter Aylward,0
a1280,Don Harvey,2
a1281,Freddie Highmore,2
a1282,David Kelly,2
a1283,Helena Bonham Carter,1
a1284,Noah Taylor,2
a1285,AnnaSophia Robb,1
a1290,Jordan Fry,2
a1291,Philip Wiegratz,2
a1292,James Fox,2
a1293,Franziska Troegner,1
a1294,Missi Pyle,1
a1295,Deep Roy,2
a1300,John August,2
a1327,Ian McKellen,2
a1328,Sean Astin,2
a1329,Billy Boyd,2
a1330,Dominic Monaghan,2
a1331,Hugo Weaving,2
a1332,Craig Parker,2
a1333,Andy Serkis,2
a1336,Jet Li,2
a1337,Tony Leung Chiu-Wai,2
a1339,Zhang Ziyi,1
a1340,Chen Dao-Ming,2
a1341,Donnie Yen,2
a1350,Irène Jacob,1
a1352,Jean-Louis Trintignant,2
a1356,Jean-Pierre Lorit,2
a1365,Lawrence Makoare,2
a1366,Sala Baker,2
a1369,Bernard Hill,2
a1370,Brad Dourif,2
a1371,David Wenham,2
a1372,Karl Urban,2
a1381,John Noble,0
a1384,Grażyna Szapołowska,0
a1386,Jerzy Radziwiłowicz,0
a1387,Artur Barciś,0
a1409,Adam Ferency,2
a1414,Goro Miyazaki,0
a1417,Toshio Suzuki,2
a1418,Albert Maysles,2
a1428,Mick Jagger,2
a1429,Charlie Watts,2
a1430,Keith Richards,2
a1431,Bill Wyman,2
a1432,Mick Taylor,2
a1442,Jerry Garcia,2
a1461,George Clooney,2
a1462,Tim Blake Nelson,2
a1465,Chris Thomas King,2
a1466,Charles Durning,2
a1467,Del Pentecost,0
a1468,J.R. Horne,2
a1469,Brian Reddy,2
a1470,Wayne Duvall,2
a1472,Ray McKinnon,2
a1475,Musetta Vander,1
a1476,Christy Taylor,0
a1479,Frank Collison,2
a1483,T Bone Burnett,0
a1487,Bob Dylan,2
a1490,Joan Baez,1
a1518,Frances O'Connor,1
a1524,Harold Ramis,2
a1532,Bill Murray,2
a1533,Andie MacDowell,1
a1534,Chris Elliott,2
a1535,Brian Doyle-Murray,2
a1537,Angela Paton,1
a1539,Rick Overton,2
a1542,Willie Garson,2
a1547,Bela Lugosi,2
a1551,Philip Glass,2
a1562,Iben Hjejle,1
a1563,Jesper Asholt,0
a1564,Sofie Gråbøl,1
a1566,Anders Hove,2
a1568,Susanne Storm,0
a1569,Ellen Hillingsø,0
a1570,Anthony Dod Mantle,2
a1578,Holmes Osborne,2
a1579,Maggie Gyllenhaal,1
a1580,Daveigh Chase,1
a1581,Mary McDonnell,1
a1582,James Duval,2
a1598,David St. James,2
a1602,Fele Martínez,2
a1603,Daniel Giménez Cacho,2
a1604,Lluís Homar,2
a1607,Juan Fernández,2
a1610,Javier Cámara,2
a1611,Alberto Ferreiro,2
a1614,Ang Lee,2
a1617,James Schamus,0
a1619,Chow Yun-fat,2
a1620,Michelle Yeoh,1
a1622,Chang Chen,2
a1624,Cheng Pei-Pei,1
a1626,Xian Gao,0
a1633,Peter Pau,2
a1639,Emily Watson,0
a1640,Stellan Skarsgård,2
a1642,Jean-Marc Barr,2
a1643,Adrian Rawlins,2
a1645,Sandra Voe,1
a1646,Udo Kier,2
a1647,Mikkel Gaup,0
a1650,François Truffaut,0
a1651,Jean Constantin,2
a1653,Jean-Pierre Léaud,2
a1654,Claire Maurier,1
a1665,Eddie Marsan,2
a1666,Julie Christie,1
a1667,Danny Cunningham,2
a1669,Dean Lennox Kelly,2
a1670,Daniel Mays,2
a1679,Nozomu Sasaki,0
a1681,Tesshou Genda,2
a1686,Takeshi Kusao,0
a1693,Ryohei Suzuki,2
a1709,Jack Davenport,2
a1710,Lee Arenberg,2
a1711,Mackenzie Crook,2
a1712,Damian O'Hare,0
a1713,Giles New,0
a1714,Angus Barnett,2
a1715,David Bailie,2
a1716,Michael Berry Jr,0
a1717,Isaac C. Singleton Jr,2
a1723,Walter Hill,2
a1726,Steven E. de Souza,2
a1729,James Horner,2
a1733,Nick Nolte,2
a1734,Annette O'Toole,1
a1736,James Remar,2
a1737,David Patrick Kelly,2
a1743,Denise Crosby,1
a1744,Robert Wise,2
a1745,Gene Roddenberry,2
a1748,William Shatner,2
a1749,Leonard Nimoy,2
a1752,George Takei,0
a1753,Nichelle Nichols,1
a1754,Walter Koenig,2
